Course Name,Course Description,Price,Category,Skills that will be taught

ML,Learn the fundamentals of Machine Learning including algorithms model training and real-world applications,1,Artificial Intelligence,Maths Statistics Calculus Python

PHP,Learn PHP from basics to advanced covering syntax functions databases and web development with hands-on projects,1,Web Development,HTML CSS

Data Analyst,Master the fundamentals of Data Analysis with hands-on projects and real-world applications,1000,Data Science,Python SQL Excel Power BI

Deep Learning,Explore neural networks CNNs RNNs and transformers for AI applications,50,Artificial Intelligence,Python PyTorch TensorFlow Maths Calculus

JavaScript,Master JavaScript with ES6 concepts asynchronous programming and web development,1,Web Development,JavaScript DOM API HTML CSS 

React, Build modern web applications using React.js including hooks state management and APIs,10,Web Development,JavaScript React Redux HTML CSS

Android Development,Learn to build Android apps with Java and Kotlin from scratch,20,Mobile Development,Java Kotlin Android Studio

Django,Build full-stack web applications with Django and PostgreSQL,10,Web Development,Python Django SQL

Artificial Intelligence,Understand AI concepts including search planning and reinforcement learning,200,Artificial Intelligence,Python AI ML Algorithms

Power BI,Learn data visualization and reporting with Power BI for business intelligence,50,Data Science,Power BI DAX Data Visualization

TensorFlow,Master deep learning with TensorFlow for image and NLP applications,100,Artificial Intelligence,TensorFlow Keras Python

R Programming,Learn R for statistical computing and data visualization,20,Data Science,R ggplot2 Statistics

Full-Stack Development,Master front-end and back-end development using MERN stack,100,Web Development,JavaScript Node.js React MongoDB

Node.js,Learn back-end development with Node.js Express and MongoDB,50,Web Development,JavaScript Node.js Express MongoDB

NLP with Python,Explore Natural Language Processing techniques using Python and real-world applications,120,Artificial Intelligence,Python NLP Transformers Text Processing

Data Wrangling,Master data cleaning and preprocessing techniques for data analysis and machine learning,80,Data Science,Pandas NumPy SQL Python

Flutter Development,Build cross-platform mobile apps using Flutter and Dart,90,Mobile Development,Flutter Dart UI Design

Computer Vision,Learn image processing and object detection using OpenCV and deep learning,150,Artificial Intelligence,ML TensorFlow Python

